date,description,amount,category.name,category.parentName
2022-12-31,SQ *LEVY @ LINCOLN PARK Z,-20.0,Alcohol & Bars,Food & Dining
2022-12-30,9/26 - 12/29,-521.0,Cash & ATM,Uncategorized
2022-12-30,FSP*SARAH SEVEN CHICAG,-55.13,Child Support,Kids
2022-12-29,KWIK TRIP XXXXXXXXXX,-27.24,Gas & Fuel,Auto & Transport
2022-12-29,ICELANDAIR XXXXXXXXXX,-918.75,Air Travel,Travel
2022-12-29,KWIK TRIP  67300006734,-1.79,Gas & Fuel,Auto & Transport
2022-12-29,MARIANOS #522,-35.88,Groceries,Food & Dining
2022-12-28,HOLIDAY STATIONS 0515,-45.99,Gas & Fuel,Auto & Transport
2022-12-28,ACH Deposit Internet transfer from account ending in 0320,199.08,Transfer,Root
2022-12-28,Transfer To CORTRUST BANK NATIONAL ASSOCIATION,-813.0,Transfer,Root
2022-12-28,Luke Schmalz Charged Lee Schmalz,-37.0,Restaurants,Food & Dining
2022-12-27,JIMMY JOHNS - 3317,-22.07,Restaurants,Food & Dining
2022-12-26,Hi,20.0,Income,Root
2022-12-26,stop merry Christmas,-20.0,Restaurants,Food & Dining
2022-12-26,Bret Bunde Paid Lee Schmalz,850.0,Income,Root
2022-12-25,ponies,-10.0,Entertainment,Root
2022-12-25,Poker,-10.0,Venmo Payment,Misc Expenses
2022-12-23,TARGET        00008623,-34.46,Shopping,Root
2022-12-23,ACH Deposit Internet transfer from account ending in 4722,250.16,Transfer,Root
2022-12-22,Natalie Bunde Paid Madi Moore,-25.0,Restaurants,Food & Dining
2022-12-22,HOLIDAY STATIONS 0515,-46.9,Gas & Fuel,Auto & Transport
2022-12-21,CULVERS OF RIVERSIDE 49,-22.59,Fast Food,Food & Dining
2022-12-21,ZANIES ONLINE CHICAGO,-71.9,Restaurants,Food & Dining
2022-12-21,BP#9574468BROADWAY & FOS,-58.35,Gas & Fuel,Auto & Transport
2022-12-20,dad,-50.0,Shopping,Root
2022-12-19,J. PARKER,-80.0,Alcohol & Bars,Food & Dining
2022-12-19,CVS/PHARMACY #01493,-17.4,Personal Care,Root
2022-12-18,APPLE.COM/BILL,-1.99,Electronics & Software,Shopping
2022-12-18,MARIANOS 522,-27.69,Groceries,Food & Dining
2022-12-18,Amazon,-44.06,Venmo Payment,Misc Expenses
2022-12-18,Amazon,-25.9,Venmo Payment,Misc Expenses
2022-12-16,MARIANOS 522,-22.12,Groceries,Food & Dining
2022-12-15,DICKSSPORTINGGOODS.COM,-27.92,Sporting Goods,Shopping
2022-12-15,DICKSSPORTINGGOODS.COM,-0.6,Sporting Goods,Shopping
2022-12-13,DICKSSPORTINGGOODS.COM,-74.36,Sporting Goods,Shopping
2022-12-13,Amazon,-37.68,Venmo Payment,Misc Expenses
2022-12-13,CAPITAL ONE MEMBER FEE,-95.0,Bank Fee,Fees & Charges
2022-12-13,OPS* SOMERSET PLACE 2,-10.0,Laundry,Personal Care
2022-12-13,OPS* SOMERSET PLACE 2,-10.0,Laundry,Personal Care
2022-12-13,Amazon,-11.91,Venmo Payment,Misc Expenses
2022-12-12,Amazon web services,-0.48,AWS,Misc Expenses
2022-12-11,ACH Deposit Internet transfer from account ending in 0320,401.46,Transfer,Root
2022-12-11,32770 - NEW CITY,-8.0,Parking,Auto & Transport
2022-12-11,Amazon,-28.65,Venmo Payment,Misc Expenses
2022-12-11,TARGET        00023739,-33.17,Shopping,Root
2022-12-11,ALDI 40003 CHICAGO,-69.47,Groceries,Food & Dining
2022-12-11,Transfer To CORTRUST BANK NATIONAL ASSOCIATION,-112.0,Transfer,Root
2022-12-10,LULULEMON HALSTED,-63.72,Clothing,Shopping
2022-12-10,RSW CNBC B18A,-19.06,Cash & ATM,Uncategorized
2022-12-10,TARGET        00026138,-116.89,Shopping,Root
2022-12-10,UBER TRIP,-38.96,Ride Share,Auto & Transport
2022-12-09,MARIANOS 522,-50.75,Groceries,Food & Dining
2022-12-09,Mini golf,28.0,Income,Root
2022-12-08,TST* Smugglers Cove Adven,-168.7,Alcohol & Bars,Food & Dining
2022-12-08,TARGET        00023630,106.49,Income,Root
2022-12-08,Daily Cash Adjustment,-1.06,Transfer,Root
2022-12-08,Golf,56.0,Income,Root
2022-12-08,Neil Schmalz Paid Lee Schmalz,28.0,Income,Root
2022-12-07,APPLE.COM/BILL,-0.99,Electronics & Software,Shopping
2022-12-06,WAL-MART #4063,-200.82,Shopping,Root
2022-12-06,DOORDASH*7-ELEVEN,-18.73,Fast Food,Food & Dining
2022-12-06,APPLE.COM/BILL,-0.99,Electronics & Software,Shopping
2022-12-06,TARGET.COM  *,-133.09,Shopping,Root
2022-12-05,Groceries,125.0,Groceries,Food & Dining
2022-12-05,WALGREENS #15136,-12.77,Pharmacy,Health & Fitness
2022-12-05,WALGREENS #15136,-52.14,Pharmacy,Health & Fitness
2022-12-05,GREAT AM BAG 3 KSK ORD,-26.78,Restaurants,Food & Dining
2022-12-05,LYFT   RIDE SAT 2PM,-37.49,Ride Share,Auto & Transport
2022-12-05,UBER   TRIP,-37.07,Ride Share,Auto & Transport
2022-12-04,ROSS DRESS FOR LESS 23,-25.35,Clothing,Shopping
2022-12-04,HUDSON NEWS  ST851,-31.02,Newspapers & Magazines,Entertainment
2022-12-04,OLD NAVY US 5192,-20.94,Clothing,Shopping
2022-12-04,TST* Billy Goat Tavern -,-15.0,Restaurants,Food & Dining
2022-12-04,TST* Billy Goat Tavern -,-22.0,Restaurants,Food & Dining
2022-12-03,LOREAL *KIEHL'S ECOMM,-56.1,Personal Care,Root
2022-12-03,QDOBA 2628,-23.58,Fast Food,Food & Dining
2022-12-03,ROSS STORES #1910,-19.8,Clothing,Shopping
2022-12-03,SECRID B.V.,-89.95,Transfer,Root
2022-12-03,TARGET        00009274,-69.79,Shopping,Root
2022-12-03,VENTRA MOBILE,-5.0,Public Transportation,Auto & Transport
